poi_id,name,destination,category,subcategory,description,tags,latitude,longitude,price_level,rating,review_count,popularity,expected_duration,opening_time,closing_time,reservation_required,family_friendly,public_transport_access,tourist_level
P0020,Riverside Beach Pune 20,Pune,nature,garden,"A garden in Pune focused on scenic, relaxation, outdoor.",scenic|relaxation|outdoor,18.515652,73.922871,3,3.5,309,0.643,30,10:00,18:00,False,False,True,0.617
P0021,Historic Heritage Site Bengaluru 21,Bengaluru,historical,heritage_site,"A heritage site in Bengaluru focused on culture, history.",culture|history,13.119851,77.507024,2,4.43,300,0.484,30,10:00,21:00,False,False,True,0.335
P0022,Cultural Food District Goa 22,Goa,neighborhood,old_town,"A old town in Goa focused on authentic, culture, local, neighborhood.",authentic|culture|local|neighborhood,15.471765,73.79592,4,4.05,170,0.471,30,10:00,19:00,True,False,True,0.356
P0023,Open Air Live Music Mumbai 23,Mumbai,entertainment,live_music,"A live music in Mumbai focused on nightlife, entertainment, experience, social.",nightlife|entertainment|experience|social,19.130598,72.849325,2,3.43,103,0.5,45,08:00,17:00,True,True,False,0.119
P0024,Open Air Theater Bengaluru 24,Bengaluru,entertainment,nightlife,"A nightlife in Bengaluru focused on entertainment, social.",entertainment|social,12.923195,77.646817,2,3.89,870,0.648,150,11:00,17:00,False,False,True,0.177
P0025,Local Old Town Bengaluru 25,Bengaluru,neighborhood,food_district,"A food district in Bengaluru focused on authentic, neighborhood, local.",authentic|neighborhood|local,13.119162,77.673097,3,4.25,29,0.494,120,11:00,22:00,True,True,True,0.273
P0026,Royal Heritage Site Delhi 26,Delhi,historical,palace,"A palace in Delhi focused on heritage, history.",heritage|history,28.495249,77.041518,4,4.25,154,0.424,120,11:00,20:00,True,False,True,0.781
P0027,Heritage Local Restaurant Bengaluru 27,Bengaluru,food,street_food,"A street food in Bengaluru focused on food, neighborhood, local.",food|neighborhood|local,12.939584,77.566996,3,3.8,509,0.572,30,11:00,19:00,False,False,True,0.848
P0028,Traditional Local Restaurant Bengaluru 28,Bengaluru,food,local_restaurant,"A local restaurant in Bengaluru focused on food, local, neighborhood.",food|local|neighborhood,13.042825,77.49071,4,4.56,748,0.679,90,10:00,19:00,False,True,False,0.84
P0029,Traditional Street Food Bengaluru 29,Bengaluru,food,local_restaurant,"A local restaurant in Bengaluru focused on local, authentic, neighborhood, food.",local|authentic|neighborhood|food,13.149972,77.554988,2,3.72,168,0.331,30,09:00,18:00,True,False,True,0.257
P0030,Historic Fort Mumbai 30,Mumbai,historical,palace,"A palace in Mumbai focused on architecture, culture.",architecture|culture,19.237652,72.787835,4,4.25,788,0.706,150,09:00,17:00,False,False,True,0.712
P0031,Hidden Street Food Delhi 31,Delhi,food,street_food,"A street food in Delhi focused on authentic, local.",authentic|local,28.609824,77.180761,4,3.88,195,0.57,30,11:00,19:00,False,False,True,0.464
P0032,Royal Nightlife Delhi 32,Delhi,entertainment,nightlife,"A nightlife in Delhi focused on nightlife, entertainment, experience.",nightlife|entertainment|experience,28.580672,77.215513,3,3.6,58,0.515,45,11:00,21:00,False,True,True,0.858
P0033,Urban Adventure Mumbai 33,Mumbai,activity,walking_tour,"A walking tour in Mumbai focused on fun, interactive, activity, experience.",fun|interactive|activity|experience,19.019119,73.058112,1,4.47,1245,0.868,90,11:00,21:00,False,False,True,0.516
P0034,Nature Waterfall Goa 34,Goa,nature,garden,"A garden in Goa focused on scenic, outdoor, relaxation, nature.",scenic|outdoor|relaxation|nature,15.526715,73.853103,3,4.07,815,0.693,90,10:00,19:00,False,True,True,0.164
P0035,Lakeside Garden Mumbai 35,Mumbai,nature,garden,"A garden in Mumbai focused on scenic, nature, relaxation, outdoor.",scenic|nature|relaxation|outdoor,18.996775,72.956355,2,4.26,112,0.39,60,08:00,22:00,False,True,False,0.576
P0036,Hidden Street Food Pune 36,Pune,food,street_food,"A street food in Pune focused on local, food.",local|food,18.543879,73.838094,4,4.26,1549,0.95,30,11:00,20:00,True,True,True,0.192
P0037,Lakeside Waterfall Pune 37,Pune,nature,park,"A park in Pune focused on outdoor, scenic, relaxation, nature.",outdoor|scenic|relaxation|nature,18.561615,73.833235,4,4.08,1599,1.0,120,11:00,19:00,False,True,False,0.144
P0038,Ancient Monument Goa 38,Goa,historical,palace,"A palace in Goa focused on history, heritage.",history|heritage,15.345946,73.975996,4,2.92,656,0.682,90,10:00,17:00,True,False,True,0.481
P0039,Riverside Garden Delhi 39,Delhi,nature,garden,"A garden in Delhi focused on scenic, nature.",scenic|nature,28.484433,76.962405,1,4.14,170,0.304,180,10:00,21:00,False,True,True,0.168
P0040,Metro Nightlife Goa 40,Goa,entertainment,nightlife,"A nightlife in Goa focused on nightlife, experience, social.",nightlife|experience|social,15.282177,73.71993,1,4.14,22,0.249,150,08:00,22:00,False,True,False,0.216
P0041,Art Art Goa 41,Goa,museum,cultural,"A cultural in Goa focused on history, culture.",history|culture,15.503914,73.945863,4,4.0,375,0.485,150,08:00,18:00,False,False,True,0.948
P0042,Old Palace Bengaluru 42,Bengaluru,historical,monument,"A monument in Bengaluru focused on history, architecture, heritage.",history|architecture|heritage,12.92572,77.484776,4,4.77,131,0.316,120,10:00,21:00,False,True,False,0.243
P0043,Grand Theater Goa 43,Goa,entertainment,nightlife,"A nightlife in Goa focused on social, nightlife, entertainment, experience.",social|nightlife|entertainment|experience,15.29857,74.186573,1,3.74,134,0.441,30,09:00,17:00,False,True,False,0.523
P0044,Grand Nightlife Bengaluru 44,Bengaluru,entertainment,nightlife,"A nightlife in Bengaluru focused on social, nightlife, entertainment.",social|nightlife|entertainment,12.923119,77.61538,1,4.51,363,0.486,180,11:00,19:00,False,True,False,0.319
P0045,Royal Nightlife Mumbai 45,Mumbai,entertainment,nightlife,"A nightlife in Mumbai focused on experience, social, nightlife, entertainment.",experience|social|nightlife|entertainment,19.020793,72.943171,2,3.86,453,0.597,45,11:00,17:00,False,True,False,0.412
P0046,City Science Pune 46,Pune,museum,science,"A science in Pune focused on museum, education, culture.",museum|education|culture,18.62394,73.924838,1,4.14,782,0.812,90,09:00,17:00,False,False,True,0.708
P0047,Old Food District Delhi 47,Delhi,neighborhood,old_town,"A old town in Delhi focused on local, culture, authentic.",local|culture|authentic,28.63804,77.293719,2,3.78,165,0.484,60,09:00,22:00,True,False,False,0.719
P0048,Old Town Street Market Mumbai 48,Mumbai,shopping,market,"A market in Mumbai focused on market, local, souvenirs.",market|local|souvenirs,18.916097,73.02865,2,3.92,42,0.3,90,09:00,18:00,True,True,True,0.699
P0049,Open Air Nightlife Mumbai 49,Mumbai,entertainment,theater,"A theater in Mumbai focused on nightlife, experience, entertainment.",nightlife|experience|entertainment,19.06085,72.983394,1,4.23,334,0.516,60,10:00,22:00,False,False,True,0.337
P0050,Lakeside Beach Pune 50,Pune,nature,garden,"A garden in Pune focused on scenic, nature, outdoor, relaxation.",scenic|nature|outdoor|relaxation,18.564385,73.864962,1,4.1,184,0.486,150,08:00,21:00,False,False,False,0.787
P0051,Lakeside Waterfall Mumbai 51,Mumbai,nature,beach,"A beach in Mumbai focused on outdoor, scenic, nature, relaxation.",outdoor|scenic|nature|relaxation,19.137218,73.002325,3,3.46,147,0.515,30,10:00,22:00,True,False,True,0.445
P0052,Discovery Walking Tour Delhi 52,Delhi,activity,walking_tour,"A walking tour in Delhi focused on fun, interactive, experience.",fun|interactive|experience,28.699142,76.978485,1,3.95,93,0.403,30,09:00,18:00,False,False,False,0.969
P0053,Old Food District Pune 53,Pune,neighborhood,local_area,"A local area in Pune focused on culture, authentic, neighborhood.",culture|authentic|neighborhood,18.502892,73.774718,3,4.03,397,0.418,45,11:00,17:00,False,False,True,0.63
P0054,Artisan Cultural District Goa 54,Goa,neighborhood,local_area,"A local area in Goa focused on authentic, local, culture.",authentic|local|culture,15.305911,74.173131,2,4.95,301,0.693,45,11:00,20:00,False,False,True,0.563
P0055,Royal Heritage Site Bengaluru 55,Bengaluru,historical,heritage_site,"A heritage site in Bengaluru focused on history, architecture, heritage.",history|architecture|heritage,13.034696,77.731716,2,4.22,223,0.467,45,10:00,17:00,False,True,False,0.663
P0056,Nature Waterfall Goa 56,Goa,nature,park,"A park in Goa focused on outdoor, scenic.",outdoor|scenic,15.629604,74.112096,1,3.24,237,0.286,60,09:00,18:00,False,True,False,0.576
P0057,Adventure Walking Tour Mumbai 57,Mumbai,activity,workshop,"A workshop in Mumbai focused on experience, activity, interactive.",experience|activity|interactive,19.176025,72.958594,2,4.13,4702,1.0,180,08:00,18:00,True,False,True,0.358
P0058,City Art Pune 58,Pune,museum,cultural,"A cultural in Pune focused on history, culture, museum.",history|culture|museum,18.555217,73.899133,4,4.01,351,0.535,120,08:00,22:00,False,False,True,0.485
P0059,Old Local Area Bengaluru 59,Bengaluru,neighborhood,food_district,"A food district in Bengaluru focused on local, authentic, neighborhood.",local|authentic|neighborhood,13.055829,77.597081,2,4.08,60,0.254,60,10:00,20:00,False,True,True,0.625
P0060,Green Park Delhi 60,Delhi,nature,garden,"A garden in Delhi focused on relaxation, outdoor, scenic.",relaxation|outdoor|scenic,28.585466,76.964247,1,4.61,603,0.611,60,10:00,19:00,False,False,True,0.137
P0061,Old Palace Bengaluru 61,Bengaluru,historical,monument,"A monument in Bengaluru focused on architecture, culture, history, heritage.",architecture|culture|history|heritage,13.093531,77.616911,3,4.46,82,0.566,180,11:00,22:00,True,True,True,0.148
P0062,Grand Theater Mumbai 62,Mumbai,entertainment,live_music,"A live music in Mumbai focused on nightlife, entertainment, social, experience.",nightlife|entertainment|social|experience,19.196546,72.87254,4,4.73,45,0.553,180,08:00,21:00,False,False,True,0.221
P0063,Hidden Local Restaurant Goa 63,Goa,food,cafe,"A cafe in Goa focused on local, neighborhood, authentic.",local|neighborhood|authentic,15.597945,73.983161,1,4.36,3389,1.0,45,11:00,20:00,False,True,True,0.358
P0064,Art Cultural Pune 64,Pune,museum,history_museum,"A history museum in Pune focused on education, culture.",education|culture,18.600887,73.759952,4,3.65,124,0.408,90,11:00,19:00,True,True,True,0.155
P0065,Local Local Crafts Delhi 65,Delhi,shopping,market,"A market in Delhi focused on shopping, souvenirs.",shopping|souvenirs,28.516156,77.342223,3,4.14,133,0.598,180,09:00,19:00,False,True,True,0.459
P0066,Hill Park Delhi 66,Delhi,nature,beach,"A beach in Delhi focused on relaxation, nature.",relaxation|nature,28.471623,77.280882,4,3.4,265,0.612,180,10:00,21:00,False,True,True,0.325
P0067,City Art Goa 67,Goa,museum,cultural,"A cultural in Goa focused on history, museum.",history|museum,15.58281,74.159885,2,3.62,431,0.527,90,08:00,20:00,False,False,True,0.79
P0068,Nature Garden Delhi 68,Delhi,nature,beach,"A beach in Delhi focused on outdoor, nature, scenic, relaxation.",outdoor|nature|scenic|relaxation,28.55533,77.329112,3,3.69,1571,0.96,120,09:00,22:00,True,False,True,0.491
P0069,Urban Family Activity Delhi 69,Delhi,activity,walking_tour,"A walking tour in Delhi focused on fun, experience, activity.",fun|experience|activity,28.495287,76.884143,3,3.75,166,0.44,60,11:00,20:00,True,True,True,0.662
P0070,Heritage Local Restaurant Bengaluru 70,Bengaluru,food,food_experience,"A food experience in Bengaluru focused on authentic, neighborhood.",authentic|neighborhood,13.122715,77.621497,4,4.47,55,0.424,30,11:00,17:00,False,False,False,0.13
P0071,Grand Theater Mumbai 71,Mumbai,entertainment,nightlife,"A nightlife in Mumbai focused on nightlife, social, experience.",nightlife|social|experience,19.083424,72.963432,4,4.2,1174,1.0,150,08:00,22:00,False,True,True,0.694
P0072,Art Art Delhi 72,Delhi,museum,science,"A science in Delhi focused on education, history, culture.",education|history|culture,28.474451,77.181806,2,3.38,305,0.515,30,10:00,21:00,False,False,False,0.687
P0073,Discovery Adventure Bengaluru 73,Bengaluru,activity,adventure,"A adventure in Bengaluru focused on fun, experience.",fun|experience,12.958779,77.504079,2,4.22,625,0.572,45,09:00,17:00,False,False,True,0.563
P0074,National Science Goa 74,Goa,museum,cultural,"A cultural in Goa focused on culture, education, history, museum.",culture|education|history|museum,15.311701,73.790423,4,3.54,50,0.327,150,09:00,20:00,False,False,False,0.272
P0075,Nature Park Bengaluru 75,Bengaluru,nature,beach,"A beach in Bengaluru focused on relaxation, outdoor, scenic.",relaxation|outdoor|scenic,13.053492,77.621126,4,4.33,349,0.712,180,09:00,21:00,True,True,True,0.88
P0076,Historic Palace Delhi 76,Delhi,historical,monument,"A monument in Delhi focused on heritage, culture, history.",heritage|culture|history,28.475163,76.930156,2,4.21,370,0.663,60,08:00,20:00,True,True,True,0.995
P0077,Adventure Workshop Pune 77,Pune,activity,adventure,"A adventure in Pune focused on experience, activity.",experience|activity,18.617835,73.879992,3,3.79,323,0.656,90,09:00,22:00,False,True,False,0.068
P0078,Artisan Cultural District Delhi 78,Delhi,neighborhood,local_area,"A local area in Delhi focused on local, authentic.",local|authentic,28.682852,76.96882,4,4.23,103,0.481,120,11:00,17:00,True,False,True,0.066
P0079,Central Mall Mumbai 79,Mumbai,shopping,local_crafts,"A local crafts in Mumbai focused on souvenirs, shopping, market, local.",souvenirs|shopping|market|local,18.900548,72.873486,1,4.94,432,0.775,120,08:00,20:00,False,True,True,0.405
P0080,Family Adventure Pune 80,Pune,activity,workshop,"A workshop in Pune focused on fun, activity, interactive, experience.",fun|activity|interactive|experience,18.596588,73.875651,3,3.56,538,0.705,45,11:00,22:00,False,True,True,0.73
P0081,Green Beach Goa 81,Goa,nature,park,"A park in Goa focused on scenic, relaxation, outdoor.",scenic|relaxation|outdoor,15.566444,74.142895,4,3.66,629,0.555,180,09:00,19:00,False,False,False,0.365
P0082,Artisan Old Town Bengaluru 82,Bengaluru,neighborhood,food_district,"A food district in Bengaluru focused on authentic, culture.",authentic|culture,13.118391,77.565993,4,4.62,91,0.401,180,10:00,17:00,False,True,True,0.831
P0083,Royal Heritage Site Goa 83,Goa,historical,fort,"A fort in Goa focused on culture, history, heritage.",culture|history|heritage,15.381168,73.84782,3,4.53,401,0.563,150,10:00,21:00,False,True,False,0.951
P0084,Modern Science Goa 84,Goa,museum,art,"A art in Goa focused on museum, history, education.",museum|history|education,15.307112,74.003786,2,4.47,2383,1.0,60,10:00,20:00,False,True,True,0.477
P0085,Heritage Palace Bengaluru 85,Bengaluru,historical,palace,"A palace in Bengaluru focused on architecture, history, culture, heritage.",architecture|history|culture|heritage,13.008838,77.56941,2,3.99,99,0.419,90,08:00,19:00,False,False,True,0.631
P0086,Modern History Museum Pune 86,Pune,museum,art,"A art in Pune focused on museum, education, culture.",museum|education|culture,18.540409,73.929736,3,3.7,91,0.474,120,10:00,19:00,False,False,False,0.656
P0087,Riverside Park Pune 87,Pune,nature,waterfall,"A waterfall in Pune focused on scenic, outdoor, nature.",scenic|outdoor|nature,18.497347,73.848804,1,4.07,368,0.392,90,11:00,21:00,False,True,True,0.169
P0088,Grand Cinema Bengaluru 88,Bengaluru,entertainment,theater,"A theater in Bengaluru focused on social, entertainment, experience, nightlife.",social|entertainment|experience|nightlife,12.8885,77.698716,1,4.22,660,0.689,60,09:00,18:00,False,False,True,0.944
P0089,Nature Beach Goa 89,Goa,nature,beach,"A beach in Goa focused on nature, scenic, relaxation, outdoor.",nature|scenic|relaxation|outdoor,15.300068,73.851412,2,4.11,1400,1.0,150,10:00,21:00,True,False,True,0.951
P0090,Local Old Town Mumbai 90,Mumbai,neighborhood,local_area,"A local area in Mumbai focused on culture, neighborhood, local.",culture|neighborhood|local,19.074313,72.969507,4,3.98,6400,1.0,30,08:00,18:00,False,True,True,0.626
P0091,Heritage Cultural District Goa 91,Goa,neighborhood,cultural_district,"A cultural district in Goa focused on culture, local.",culture|local,15.554266,73.95749,4,4.38,87,0.301,90,09:00,18:00,True,True,True,0.635
P0092,Family Walking Tour Goa 92,Goa,activity,workshop,"A workshop in Goa focused on interactive, experience, fun, activity.",interactive|experience|fun|activity,15.555249,73.949133,1,3.62,436,0.409,90,11:00,18:00,True,True,True,0.52
P0093,Traditional Local Restaurant Delhi 93,Delhi,food,local_restaurant,"A local restaurant in Delhi focused on authentic, food, neighborhood, local.",authentic|food|neighborhood|local,28.579278,77.291228,4,4.0,576,0.477,120,09:00,19:00,False,True,True,0.776
P0094,Old Monument Mumbai 94,Mumbai,historical,heritage_site,"A heritage site in Mumbai focused on architecture, history, culture, heritage.",architecture|history|culture|heritage,19.030619,73.095376,1,4.31,224,0.332,45,10:00,20:00,False,True,False,0.183
P0095,Old Food District Mumbai 95,Mumbai,neighborhood,old_town,"A old town in Mumbai focused on authentic, culture, neighborhood, local.",authentic|culture|neighborhood|local,19.107804,72.92756,1,3.72,39,0.332,150,08:00,20:00,False,False,True,0.704
P0096,Hill Park Goa 96,Goa,nature,park,"A park in Goa focused on relaxation, nature, scenic, outdoor.",relaxation|nature|scenic|outdoor,15.483409,73.785256,1,3.9,683,0.569,90,10:00,20:00,True,False,True,0.786
P0097,Riverside Beach Mumbai 97,Mumbai,nature,beach,"A beach in Mumbai focused on scenic, nature, outdoor.",scenic|nature|outdoor,19.249343,72.91743,3,4.2,54,0.425,150,10:00,21:00,False,False,True,0.334
P0098,Grand Nightlife Mumbai 98,Mumbai,entertainment,theater,"A theater in Mumbai focused on nightlife, social, entertainment, experience.",nightlife|social|entertainment|experience,19.067931,72.946171,4,4.18,388,0.67,180,09:00,19:00,True,False,True,0.928
P0099,Lakeside Park Mumbai 99,Mumbai,nature,beach,"A beach in Mumbai focused on nature, scenic.",nature|scenic,19.226558,72.99366,2,3.7,294,0.402,150,09:00,22:00,True,True,True,0.499
P0100,City History Museum Delhi 100,Delhi,museum,cultural,"A cultural in Delhi focused on history, education, museum.",history|education|museum,28.645868,77.290324,3,4.13,62,0.347,150,08:00,17:00,False,True,True,0.858
P0101,National Cultural Bengaluru 101,Bengaluru,museum,art,"A art in Bengaluru focused on culture, education, history.",culture|education|history,13.149152,77.569098,1,4.26,479,0.432,120,08:00,19:00,False,False,True,0.519
P0102,Riverside Park Goa 102,Goa,nature,park,"A park in Goa focused on scenic, relaxation, nature, outdoor.",scenic|relaxation|nature|outdoor,15.382274,74.06556,3,4.59,866,0.896,120,09:00,18:00,False,True,True,0.456
P0103,Ancient Fort Bengaluru 103,Bengaluru,historical,palace,"A palace in Bengaluru focused on history, heritage.",history|heritage,13.144506,77.593236,4,3.48,79,0.292,180,10:00,19:00,False,False,True,0.671
P0104,Metro Nightlife Pune 104,Pune,entertainment,theater,"A theater in Pune focused on nightlife, experience, entertainment, social.",nightlife|experience|entertainment|social,18.481943,73.887215,3,4.33,453,0.635,45,09:00,20:00,True,False,True,0.445
P0105,Lakeside Beach Delhi 105,Delhi,nature,waterfall,"A waterfall in Delhi focused on relaxation, scenic.",relaxation|scenic,28.654103,77.147907,3,4.33,24916,1.0,120,08:00,17:00,False,False,True,0.56
P0106,City Nightlife Delhi 106,Delhi,entertainment,cinema,"A cinema in Delhi focused on entertainment, nightlife, social.",entertainment|nightlife|social,28.654089,77.208459,1,4.36,955,0.806,120,11:00,20:00,False,True,True,0.343
P0107,Street Street Food Goa 107,Goa,food,cafe,"A cafe in Goa focused on local, authentic, neighborhood.",local|authentic|neighborhood,15.481325,73.722645,1,4.53,534,0.812,90,08:00,19:00,False,False,False,0.979
P0108,Open Air Nightlife Bengaluru 108,Bengaluru,entertainment,nightlife,"A nightlife in Bengaluru focused on social, nightlife, experience, entertainment.",social|nightlife|experience|entertainment,12.962694,77.654819,2,3.96,608,0.819,90,09:00,22:00,False,False,False,0.98
P0109,Old Cultural District Delhi 109,Delhi,neighborhood,cultural_district,"A cultural district in Delhi focused on neighborhood, culture, local.",neighborhood|culture|local,28.524254,77.02308,1,3.75,184,0.554,90,08:00,18:00,True,True,True,0.618
P0110,Heritage Cultural District Pune 110,Pune,neighborhood,food_district,"A food district in Pune focused on neighborhood, culture.",neighborhood|culture,18.496868,73.793454,3,3.88,269,0.397,150,10:00,21:00,False,False,True,0.337
P0111,Craft Local Crafts Bengaluru 111,Bengaluru,shopping,mall,"A mall in Bengaluru focused on local, market, souvenirs, shopping.",local|market|souvenirs|shopping,12.868287,77.734556,1,5.0,26,0.602,150,11:00,21:00,False,True,True,0.408
P0112,Riverside Park Mumbai 112,Mumbai,nature,beach,"A beach in Mumbai focused on nature, scenic, outdoor.",nature|scenic|outdoor,19.200139,72.800523,4,4.41,35,0.431,45,11:00,18:00,False,True,True,0.477
P0113,Hill Waterfall Delhi 113,Delhi,nature,park,"A park in Delhi focused on nature, relaxation, scenic, outdoor.",nature|relaxation|scenic|outdoor,28.530538,77.186836,4,3.89,903,0.674,60,10:00,17:00,True,True,True,0.76
P0114,Lakeside Beach Delhi 114,Delhi,nature,garden,"A garden in Delhi focused on relaxation, outdoor, scenic.",relaxation|outdoor|scenic,28.724538,77.12604,3,4.13,67,0.328,120,11:00,20:00,True,False,True,0.848
P0115,Local Old Town Goa 115,Goa,neighborhood,local_area,"A local area in Goa focused on local, neighborhood.",local|neighborhood,15.47501,73.810637,4,3.78,553,0.541,45,10:00,18:00,False,False,True,0.672
P0116,City Nightlife Bengaluru 116,Bengaluru,entertainment,nightlife,"A nightlife in Bengaluru focused on social, nightlife.",social|nightlife,12.90047,77.688493,4,3.77,317,0.396,120,08:00,21:00,True,False,False,0.685
P0117,Nature Garden Mumbai 117,Mumbai,nature,park,"A park in Mumbai focused on relaxation, outdoor, nature, scenic.",relaxation|outdoor|nature|scenic,19.147509,72.7532,4,4.12,111,0.261,120,11:00,17:00,True,False,True,0.322
P0118,Royal Fort Mumbai 118,Mumbai,historical,fort,"A fort in Mumbai focused on architecture, heritage, culture, history.",architecture|heritage|culture|history,19.083535,72.834339,1,5.0,523,0.616,90,11:00,21:00,True,False,True,0.837
P0119,Heritage Cultural District Pune 119,Pune,neighborhood,food_district,"A food district in Pune focused on local, culture, authentic, neighborhood.",local|culture|authentic|neighborhood,18.525434,73.845201,4,3.19,306,0.593,150,10:00,21:00,False,False,False,0.923
P0120,Metro Nightlife Delhi 120,Delhi,entertainment,theater,"A theater in Delhi focused on entertainment, experience, social.",entertainment|experience|social,28.463969,76.887174,1,3.8,680,0.833,120,09:00,22:00,False,False,True,0.586
P0121,Cultural Adventure Delhi 121,Delhi,activity,family_activity,"A family activity in Delhi focused on activity, fun, experience, interactive.",activity|fun|experience|interactive,28.676683,76.919975,1,3.74,213,0.436,180,08:00,19:00,False,True,True,0.97
P0122,Royal Nightlife Goa 122,Goa,entertainment,nightlife,"A nightlife in Goa focused on experience, entertainment, social.",experience|entertainment|social,15.341255,73.976519,1,4.33,691,0.798,60,09:00,22:00,True,True,True,0.795
P0123,Urban Walking Tour Goa 123,Goa,activity,adventure,"A adventure in Goa focused on fun, experience, activity.",fun|experience|activity,15.286608,74.17148,2,3.56,163,0.282,90,11:00,21:00,False,True,True,0.386
P0124,Local Street Food Bengaluru 124,Bengaluru,food,street_food,"A street food in Bengaluru focused on food, authentic, local, neighborhood.",food|authentic|local|neighborhood,12.974143,77.683751,2,3.89,111,0.293,60,10:00,20:00,True,True,True,0.335
P0125,Nature Waterfall Goa 125,Goa,nature,garden,"A garden in Goa focused on outdoor, relaxation.",outdoor|relaxation,15.487523,73.797774,1,4.89,397,0.755,60,11:00,19:00,False,True,False,0.668
P0126,Discovery Adventure Goa 126,Goa,activity,workshop,"A workshop in Goa focused on fun, experience, interactive.",fun|experience|interactive,15.441604,73.788819,2,3.53,736,0.622,60,11:00,19:00,True,True,True,0.568
P0127,Nature Garden Bengaluru 127,Bengaluru,nature,garden,"A garden in Bengaluru focused on relaxation, scenic.",relaxation|scenic,13.089306,77.699385,4,5.0,844,0.679,60,09:00,19:00,False,False,False,0.12
