traveler_id,destination,start_latitude,start_longitude,trip_duration,interests,budget,party_type,mobility,explicit_preferences
U0057,Delhi,28.69246,77.119086,5,activities|nature|architecture,low,solo,public_transport,prefer highly rated places
U0058,Mumbai,19.162667,72.949447,5,food|neighborhoods|activities,medium,couple,public_transport,prefer family friendly places
U0059,Goa,15.569133,73.870169,7,nature|food|entertainment|history,low,couple,car,prefer budget friendly places
U0060,Bengaluru,13.016553,77.522097,5,neighborhoods|entertainment|activities|food,low,family,walking,prefer budget friendly places
U0061,Mumbai,19.007172,72.953544,5,entertainment|shopping|museums|neighborhoods,high,family,public_transport,prefer highly rated places
U0062,Goa,15.372649,73.815269,3,history|architecture|entertainment,low,friends,public_transport,prefer outdoor activities
U0063,Pune,18.616526,73.809249,4,nature|food,high,couple,public_transport,prefer less touristy experiences
U0064,Pune,18.560672,73.889483,3,neighborhoods|history|activities|food,high,family,public_transport,prefer highly rated places
U0065,Bengaluru,12.952212,77.739649,4,history|entertainment|museums,medium,solo,car,prefer less touristy experiences
U0066,Mumbai,18.952219,72.946994,4,museums|history,high,friends,car,prefer family friendly places
U0067,Delhi,28.564113,77.304252,4,activities|nature|neighborhoods|entertainment,low,solo,walking,prefer family friendly places
U0068,Goa,15.514171,73.778529,3,history|architecture|food|museums,medium,friends,public_transport,prefer less touristy experiences
U0069,Mumbai,19.000837,72.848951,5,museums|nature,high,couple,public_transport,prefer famous landmarks
U0070,Delhi,28.517443,76.924495,4,history|food,low,family,car,prefer outdoor activities
U0071,Bengaluru,12.887306,77.656603,5,entertainment|neighborhoods|museums,low,solo,public_transport,prefer cultural experiences
U0072,Delhi,28.52511,76.895663,7,food|nature|neighborhoods|entertainment,low,friends,car,prefer highly rated places
U0073,Goa,15.322596,73.992665,5,neighborhoods|shopping,medium,family,public_transport,prefer famous landmarks
U0074,Mumbai,19.015431,72.992786,4,activities|food|museums|neighborhoods,medium,family,public_transport,prefer famous landmarks
U0075,Bengaluru,13.109473,77.697478,2,entertainment|neighborhoods|museums|food,low,family,car,prefer highly rated places
U0076,Bengaluru,13.077997,77.511067,7,nature|neighborhoods,high,friends,walking,prefer less touristy experiences
U0077,Delhi,28.689794,77.204891,4,food|activities|entertainment|history,low,friends,walking,prefer local experiences
U0078,Bengaluru,13.129796,77.537558,4,neighborhoods|entertainment|history,medium,couple,public_transport,prefer family friendly places
U0079,Delhi,28.602472,77.289663,2,activities|shopping|entertainment,high,family,walking,prefer outdoor activities
U0080,Goa,15.58499,73.989962,5,neighborhoods|entertainment,medium,family,car,prefer budget friendly places
U0081,Bengaluru,13.129856,77.710881,3,activities|museums|entertainment|neighborhoods,low,family,car,prefer highly rated places
U0082,Bengaluru,12.965824,77.649107,3,food|architecture|nature,high,family,walking,prefer highly rated places
U0083,Pune,18.55519,73.841386,3,architecture|history|museums,medium,family,car,prefer budget friendly places
U0084,Pune,18.620353,73.920468,7,shopping|neighborhoods|activities,high,solo,car,prefer famous landmarks
U0085,Mumbai,19.120906,73.072325,3,history|activities|food|shopping,high,solo,public_transport,prefer local experiences
U0086,Goa,15.61137,73.722995,2,shopping|entertainment|museums,low,couple,car,prefer budget friendly places
U0087,Delhi,28.65454,76.940028,3,activities|museums,medium,couple,walking,prefer highly rated places
U0088,Goa,15.433828,74.03342,5,entertainment|architecture|food,medium,family,car,prefer outdoor activities
U0089,Bengaluru,13.057094,77.587051,4,activities|neighborhoods,low,couple,public_transport,prefer cultural experiences
U0090,Delhi,28.538762,77.19964,2,activities|nature|food|neighborhoods,high,solo,car,prefer highly rated places
U0091,Goa,15.560296,73.815059,4,museums|nature,high,couple,car,prefer famous landmarks
U0092,Pune,18.511787,73.838165,7,architecture|history|entertainment,medium,friends,walking,prefer family friendly places
U0093,Mumbai,19.175279,73.056761,4,entertainment|nature|activities|history,medium,friends,public_transport,prefer cultural experiences
U0094,Pune,18.543666,73.76506,3,activities|shopping|food|museums,low,family,car,prefer famous landmarks
U0095,Bengaluru,12.960576,77.674703,4,activities|shopping|food|neighborhoods,low,friends,walking,prefer cultural experiences
U0096,Delhi,28.51641,76.881609,5,nature|activities|food|history,low,solo,public_transport,prefer highly rated places
U0097,Pune,18.469438,73.927452,3,neighborhoods|shopping|entertainment,high,friends,car,prefer local experiences
U0098,Bengaluru,13.046477,77.700108,7,nature|food|shopping,medium,couple,public_transport,prefer highly rated places
U0099,Mumbai,19.199408,72.784774,4,shopping|food|museums|architecture,low,solo,public_transport,prefer famous landmarks
U0100,Mumbai,19.124597,72.959001,2,shopping|museums,low,couple,walking,prefer family friendly places
U0101,Pune,18.5204,73.8567,3,nature|activity,medium,solo,walking,outdoor activities|less touristy
